settlement,job_demands
אבו גוש,1206
בית שמש,1206
ירושלים,3780
מבשרת ציון,2004
קריית יערים,1206
אבו סנאן,1555
אעבלין,1555
ביר אל-מכסור,1555
בית ג'ן,778
ג'דיידה-מכר,1555
ג'ולס,1555
דייר חנא,1555
חורפיש,778
טמרה,1555
יאנוח-ג'ת,778
ירכא,1555
כאבול,1555
כאוכב אבו אל-היג'א,1555
כסרא-סמיע,778
כפר ורדים,778
כפר יאסיף,1555
כפר מנדא,1555
כרמיאל,778
מזרעה,1555
מעיליא,778
מעלות-תרשיחא,778
נהרייה,1555
נחף,778
סאג'ור,778
סח'נין,1555
עכו,1555
עראבה,1555
פסוטה,778
פקיעין (בוקייעה),778
ראמה,778
שלומי,1555
שעב,1555
שפרעם,1555
אבן יהודה,3185
אליכין,2415
זמר,4024
טייבה,4024
טירה,4024
כפר יונה,3185
נתניה,3185
פרדסייה,3185
קלנסווה,4024
תל מונד,4024
אום אל-פחם,1494
אור עקיבא,2415
ג'סר א-זרקא,2415
זכרון יעקב,2415
חדרה,2415
כפר קרע,1494
ערערה,1494
פוריידיס,2415
פרדס חנה-כרכור,2415
אופקים,1649
אילת,139
באר שבע,1649
דימונה,568
חורה,568
ירוחם,568
כסיפה,568
להבים,568
לקיה,568
מיתר,568
מצפה רמון,568
נתיבות,1649
עומר,568
ערד,568
ערערה-בנגב,568
רהט,568
שגב-שלום,568
תל שבע,568
אור יהודה,4292
בני ברק,6543
גבעתיים,6543
קריית אונו,4292
רמת גן,6543
אזור,5847
בת ים,5847
חולון,5847
הרצלייה,3837
רמת השרון,3837
תל אביב -יפו,7997
אורנית,892
אלפי מנשה,4024
אלקנה,892
אריאל,892
עמנואל,892
קדומים,892
קרני שומרון,892
בית אל,892
גבעת זאב,892
הר אדר,892
מודיעין עילית,892
ביתר עילית,892
מעלה אדומים,892
קריית ארבע,892
אכסאל,1494
בית שאן,1494
בסמת טבעון,2369
דבורייה,1494
זרזיר,1494
יקנעם עילית,2369
מגדל העמק,1494
עפולה,1494
רמת ישי,2369
שבלי - אום אל-גנם,1494
בועיינה-נוג'ידאת,616
טורעאן,1494
יפיע,1494
כעביה-טבאש-חג'אג'רה,1494
כפר כנא,1494
משהד,1494
נצרת,1494
עילוט,1494
עין מאהל,1494
ריינה,1494
אלעד,3011
גבעת שמואל,4292
ג'לג'וליה,3011
גני תקווה,4292
הוד השרון,4024
כוכב יאיר,4024
כפר ברא,3012
כפר סבא,4024
כפר קאסם,3012
פתח תקווה,7200
ראש העין,3012
רעננה,4024
אשדוד,2958
אשקלון,2958
קריית גת,1733
קריית מלאכי,1733
שדרות,2958
באר יעקב,3936
בית דגן,5812
לוד,3936
רמלה,3936
שוהם,3936
בוקעאתא,778
מג'דל שמס,778
מסעדה,778
קצרין,778
"בני עי""ש",0
גדרה,4319
גן יבנה,1733
יבנה,4319
מזכרת בתיה,4319
נס ציונה,5812
קריית עקרון,4319
ראשון לציון,5812
רחובות,4319
ג'ש (גוש חלב),778
חצור הגלילית,778
צפת,778
קריית שמונה,778
ראש פינה,778
דאלית אל-כרמל,892
חיפה,2728
טירת כרמל,2728
נשר,2369
קריית אתא,2369
קריית ביאליק,2369
קריית טבעון,2369
קריית ים,2369
קריית מוצקין,2369
רכסים,2369
טבריה,616
יבנאל,616
כפר כמא,616
כפר תבור,1494
מגאר,616
עיילבון,616
