settlement,settlement,pollution,settlement_temp
קריית טבעון,קריית טבעון,0.8645292179999999,קריית טבעון
נאות הכיכר,נאות הכיכר,0.820572737,נאות הכיכר
קריית גת,קריית גת,0.937558922,קריית גת
כפר סבא,כפר סבא,0.8785504590000001,כפר סבא
רמלה,רמלה,0.9816224920000001,רמלה
נתניה,נתניה,0.940830387,נתניה
חיפה,חיפה,1.267745887,חיפה
אביגדור,אביגדור,0.94804247,אביגדור
אשקלון,אשקלון,0.958378471,אשקלון
חולון,חולון,1.155096379,חולון
גן שמואל,גן שמואל,0.8756577440000001,גן שמואל
יד בנימין,יד בנימין,0.977126113,יד בנימין
ניר גלים,ניר גלים,0.882820798,ניר גלים
המעפיל,המעפיל,0.82742766,המעפיל
רמת גן,רמת גן,0.968633737,רמת גן
אור יהודה,אור יהודה,0.9506562279999999,אור יהודה
תל אביב -יפו,תל אביב -יפו,3.840531561,תל אביב -יפו
ירושלים,ירושלים,1.860417129,ירושלים
"יד רמב""ם","יד רמב""ם",0.918823572,"יד רמב""ם"
נאות חובב,נאות חובב,0.855184267,נאות חובב
ניר ישראל,ניר ישראל,0.0,ניר ישראל
באר שבע,באר שבע,0.834281962,באר שבע
קריית אתא,קריית אתא,0.8442206609999999,קריית אתא
נשר,נשר,0.886201655,נשר
ערד,ערד,0.7834364340000001,ערד
מבקיעים,מבקיעים,0.9072199479999999,מבקיעים
עפולה,עפולה,0.873613557,עפולה
כפר מנחם,כפר מנחם,0.933062093,כפר מנחם
אליקים,אליקים,0.815960369,אליקים
גן הדרום,גן הדרום,0.861486078,גן הדרום
ברקאי,ברקאי,0.865360902,ברקאי
אילת,אילת,0.796197633,אילת
קריית ביאליק,קריית ביאליק,0.8522258290000001,קריית ביאליק
אליכין,אליכין,0.8871618179999999,אליכין
חדרה,חדרה,0.932882195,חדרה
גבעת חביבה,גבעת חביבה,0.827963144,גבעת חביבה
נווה זוהר,נווה זוהר,0.800664452,נווה זוהר
אחיסמך,אחיסמך,1.000140824,אחיסמך
בני עטרות,בני עטרות,0.96849645,בני עטרות
בני ברק,בני ברק,1.0599048629999999,בני ברק
גברעם,גברעם,0.8183990309999999,גברעם
קריית מוצקין,קריית מוצקין,0.836605195,קריית מוצקין
מודיעין-מכבים-רעות*,מודיעין-מכבים-רעות*,1.209617008,מודיעין-מכבים-רעות*
בת ים,בת ים,1.011472185,בת ים
קריית ים,קריית ים,0.865448731,קריית ים
רחובות,רחובות,0.8223730020000001,רחובות
ראשון לציון,ראשון לציון,1.176295648,ראשון לציון
מצפה נטופה,מצפה נטופה,0.7740863790000001,מצפה נטופה
אלון שבות,אלון שבות,0.7865199190000001,אלון שבות
גן יבנה,גן יבנה,0.8923167790000001,גן יבנה
קציר,קציר,0.777960372,קציר
לוזית,לוזית,0.819670707,לוזית
רעננה,רעננה,1.0322841329999999,רעננה
כסיפה,כסיפה,0.7584717609999999,כסיפה
דור,דור,0.830513205,דור
כרמייה,כרמייה,0.875210023,כרמייה
פתח תקווה,פתח תקווה,1.379781524,פתח תקווה
אלעד,אלעד,1.085064942,אלעד
מעיין צבי,מעיין צבי,0.9177214659999999,מעיין צבי
מגל,מגל,0.827729238,מגל
שדה יואב,שדה יואב,1.01698646,שדה יואב
קטורה,קטורה,0.857863686,קטורה
תימורים,תימורים,0.921523856,תימורים
ירוחם,ירוחם,0.779227419,ירוחם
בת הדר,בת הדר,1.057232615,בת הדר
כרמיאל,כרמיאל,0.779743704,כרמיאל
קיסריה,קיסריה,0.86933919,קיסריה
בית חשמונאי,בית חשמונאי,0.794684385,בית חשמונאי
דאלית אל-כרמל,דאלית אל-כרמל,0.781928792,דאלית אל-כרמל
כרמי יוסף,כרמי יוסף,0.942575323,כרמי יוסף
קריית מלאכי,קריית מלאכי,0.8957769859999999,קריית מלאכי
אשדוד,אשדוד,1.0111904409999999,אשדוד
אריאל,אריאל,1.116133719,אריאל
גבעת המורה,גבעת המורה,0.776789108,גבעת המורה
ארז,ארז,0.883309751,ארז
אשלים,אשלים,0.7654405059999999,אשלים
שדרות,שדרות,0.875744263,שדרות
עמיקם,עמיקם,0.79098935,עמיקם
כפר מסריק,כפר מסריק,0.91195574,כפר מסריק
יבנה,יבנה,0.887582759,יבנה
נחשולים,נחשולים,0.770122095,נחשולים
בית שמש,בית שמש,0.814041463,בית שמש
כפר חסידים א',כפר חסידים א',0.811544962,כפר חסידים א'
בני דרום,בני דרום,0.9531782320000001,בני דרום
זיקים,זיקים,0.734219269,זיקים
דברת,דברת,1.036611523,דברת
פרדס חנה-כרכור,פרדס חנה-כרכור,0.912752118,פרדס חנה-כרכור
רביבים,רביבים,0.765007051,רביבים
